scenario,seed,mean_return,daily_volatility,return_acf_1,maximum_absolute_return_acf_1_20,mean_absolute_return_acf_1_20,absolute_return_acf_1,absolute_return_acf_5,absolute_return_acf_20,absolute_return_acf_50,excess_kurtosis,volume_absolute_return_correlation,volume_acf_1,order_flow_imbalance_acf_1,order_flow_imbalance_return_correlation,mean_spread_bps,mean_depth,three_sigma_tail_fraction,mean_absolute_log_price_gap,maximum_drawdown,bubble_day_fraction,crash_day_fraction,strategy_turnover,final_wealth_gini,price_cap_hits,maximum_cash_relative_error,maximum_share_relative_error
full,20260801,0.0002253523726870359,0.014364746999859393,-0.015424281278214578,0.1142995428585748,0.032570155070247755,0.08403461513500679,0.03856784576806949,-0.0019247521602834563,0.018771700086696753,0.6907995328199368,0.207210527370104,0.9490142685337537,0.8757934024648925,0.1670118463132461,6.814093711287861,13244.86372177498,0.007,0.03542101820230567,0.29238652165295476,0.001,0.0,0.0,0.03347438054285945,0.0,1.7610463229092685e-15,1.7197717997160825e-15
full,20260802,0.0004570395560617442,0.010436700683345157,0.03564315598158764,0.07816470392018425,0.02618050733823194,0.02741643449912151,0.00171293065875804,0.04510696115994107,0.025390894930938174,-0.15679187244273196,0.04031508216279096,0.9635048480463044,0.8705238004584911,0.13164273663372864,5.6239936803970085,15440.305513521342,0.002,0.11644090352681899,0.15544877156594838,0.0,0.0,0.0,0.03246182637989503,0.0,2.4383718317205256e-15,5.291605537587946e-16
full,20260803,0.0009463467028336403,0.012565203810315548,-0.058318291538848814,0.0824771809835916,0.03507539137115703,0.1202184344922784,0.16960553291166197,0.12208248804330085,0.10292861330401355,0.5871409306327671,0.29190738435659536,0.9716848750318261,0.80876189025518,0.20665533066603822,6.260202076263874,14370.866321699958,0.01,0.06048937730634883,0.1501977154212335,0.0,0.0,0.0,0.030126522580678605,0.0,1.0837208140980114e-15,1.1906112459572878e-15
full,20260804,0.00038984006739792944,0.013323820538988616,-0.0455361757025541,0.07167858456693132,0.027026003532977023,0.09555589027355149,0.07001735339946193,0.04467535643115516,0.02865621818985895,0.9181619027245369,0.25182274067063226,0.958571611687992,0.8131979330940494,0.2594886438418553,6.454201560839863,13946.514831113029,0.008,0.03577259442863342,0.2534927304076987,0.0,0.0,0.0,0.025396505357541788,0.0,1.7610463229092685e-15,1.0583211075175892e-15
full,20260805,0.00037408804965923805,0.010640211121018463,-0.020570203778889073,0.05635847879205737,0.018890046513910876,0.010087028159210356,0.01115977496925593,-0.017269715757978973,-0.004443534170436763,0.38727064297377245,0.05883272306923847,0.9730078882053881,0.8748688401438017,0.0894316156676863,5.635196352460744,15420.160059344831,0.006,0.14105903413496812,0.18439340022326856,0.0,0.0,0.0,0.027042077019842514,0.0,1.625581221147017e-15,1.1906112459572878e-15
no_direct_news,20260801,8.165733016562271e-05,0.006324425111704868,0.3593215489538458,0.3593215489538458,0.08728604231974564,0.14863877820827595,-0.025656205664564318,0.01947727249050965,-0.07071170010133518,0.5719783881746334,0.07405732317347179,0.9309304476378978,0.9521288004008635,0.08848216883863505,5.238091169416342,15995.554682445376,0.007,0.12893166022952265,0.09965001867559209,0.052,0.0,0.0,0.06504606909749344,0.0,2.84476713700728e-15,1.3229013843969864e-15
no_direct_news,20260802,3.37886237324101e-05,0.006120826126305957,0.42098309154589597,0.42098309154589597,0.09438747146162732,0.129801570523315,-0.07793159067639883,0.014520626845919411,0.037120547473388485,0.5330812323833811,0.034389760980966244,0.9317269506105716,0.954496840123328,0.07674344843670468,5.226358926071854,16000.0,0.008,0.6574036690392914,0.08763521482490944,0.0,0.0,0.0,0.06832515220025259,0.0,1.625581221147017e-15,1.1906112459572878e-15
no_direct_news,20260803,6.27060293243824e-05,0.006601486688198756,0.4137442361043335,0.4137442361043335,0.0859903770674312,0.20266820039575942,0.03137457964253709,-0.009918810517893712,0.007274810086366111,0.34724705238220377,0.047874867242771256,0.9333581287332664,0.949076974703776,0.09493187221991385,5.2457923150328165,15999.709097638723,0.004,0.5288356716009053,0.09995916962400764,0.0,0.0,0.0,0.06455056913891544,0.0,1.3546510176225143e-15,1.1906112459572878e-15
no_direct_news,20260804,-9.677346649992202e-07,0.006678651698750158,0.34849013230381887,0.34849013230381887,0.08990243388879789,0.1798188270165169,0.008306812467954788,0.03748137985244191,-0.03831088303384356,0.5419452147881625,0.10494911856794326,0.9396731796865486,0.9498484735446054,0.08630267794664238,5.247843390017214,15998.272335910257,0.004,0.2907883324025288,0.12582440234455072,0.0,0.0,0.0,0.07013503397878806,0.0,2.980232238769531e-15,2.9103830456733705e-15
no_direct_news,20260805,-2.0182005963634176e-05,0.006979060898189418,0.4370792708038679,0.4370792708038679,0.08969481916131988,0.2173271184187429,-0.004859765956323468,0.004875969306414909,-0.01181755635360306,0.5639761704745165,0.03614311565075609,0.9313760976572614,0.9542179323898166,0.0813474681882771,5.257508099865601,15999.166603525986,0.006,0.8509189161680536,0.13277570166046015,0.0,0.0,0.0,0.06914632482635108,0.0,1.4901161193847656e-15,1.5874816612763839e-15
no_agent_information,20260801,0.0002108245646239002,0.011958178442959048,0.16406670282225266,0.16406670282225266,0.05182248283856609,0.04426492395392506,0.007335817281758813,-0.06497904798151687,0.0263913148800762,0.30726013285347786,0.06116499139503445,0.9618707504575074,0.9241504575260113,0.03794614754068581,6.032780643890871,14636.76481392781,0.007,0.025978962428943254,0.28466169134285346,0.0,0.0,0.0,0.046931852120343454,0.0,8.127906105735085e-16,1.5874816612763839e-15
no_agent_information,20260802,0.00045589874882009165,0.01036449219138463,0.059033918341705356,0.08117637652417507,0.02658924767981058,0.03495741737746666,0.009440783929503626,0.04342413298380645,0.025227623267132272,-0.16544821096131113,0.029583583419024496,0.963185442228013,0.8839596144369319,0.1143043763234876,5.572200010412054,15536.285395343273,0.002,0.12014042343069846,0.15545452772821966,0.0,0.0,0.0,0.019670940674577198,0.0,1.625581221147017e-15,1.8520619381557813e-15
