scenario,seed,mean_return,daily_volatility,return_acf_1,maximum_absolute_return_acf_1_20,mean_absolute_return_acf_1_20,absolute_return_acf_1,absolute_return_acf_5,absolute_return_acf_20,absolute_return_acf_50,excess_kurtosis,volume_absolute_return_correlation,volume_acf_1,order_flow_imbalance_acf_1,order_flow_imbalance_return_correlation,mean_spread_bps,mean_depth,three_sigma_tail_fraction,mean_absolute_log_price_gap,maximum_drawdown,bubble_day_fraction,crash_day_fraction,strategy_turnover,final_wealth_gini,price_cap_hits,maximum_cash_relative_error,maximum_share_relative_error,return_skewness,leverage_correlation,learning_fitness_alignment
full,20261211,-0.00010053768686730464,0.0229753373025639,-0.022676448823724774,0.1443244837985398,0.03717074182590417,0.28192102475117203,0.2500942522135963,0.13476667342047224,-0.04410489776667692,7.042906100505066,0.4621781935198398,0.8504696463504913,0.4659134856177249,0.5516078006335718,7.265229481824472,13774.532671397137,0.0196,0.03321426522352875,0.5572838841131855,0.0188,0.0172,0.0,0.24522203972437828,2.0,2.980232238769531e-15,2.9103830456733705e-15,0.29119645506312836,0.00210537335042899,1.0
full,20261212,0.00031755148594903986,0.016094120358354214,-0.018750660661062946,0.11166811677386976,0.024597960756919647,0.16648820900996655,0.2243645434976558,0.033315703273717294,-0.01004999776961235,2.0085751484769094,0.37345195636149425,0.8616660119662474,0.4496764195058206,0.5088889186500505,6.772027565928461,13707.710151114512,0.0072,0.03944954832577779,0.4257001264283409,0.0004,0.002,0.0,0.14090902255229798,0.0,1.8965114246715198e-15,7.011377337304029e-15,0.1073543575464902,0.01567905686904495,1.0
full,20261213,-5.133942489241008e-05,0.015107484309328689,-0.0005279957965663184,0.09760175899605986,0.022941694427562203,0.13951986723359155,0.14219768078127298,0.02066926955439526,0.017562841230828533,1.0113516442412225,0.33179970194837605,0.8241269155131996,0.44623643186283174,0.5266528644757819,6.811503805392971,13582.627663999016,0.0072,0.028283057743182526,0.44024401301155214,0.0,0.002,0.0,0.10692531396653648,0.0,1.8965114246715198e-15,3.3072534609924663e-15,0.046589891811725466,-0.02535125306898004,1.0
full,20261214,0.00042276832374461685,0.010886084847400262,0.008429156221334156,0.061864030293016126,0.025243399562736885,0.01997158522041986,0.047552534489521556,-0.011506231876517488,0.018371521628706335,0.07096031462480035,0.10441383709073425,0.9316937481310903,0.6482260871089897,0.16264873470985475,6.549798104442317,13460.310109625301,0.0028,0.23277520599892118,0.2443475989393532,0.0,0.0,0.0,0.05513294340452268,0.0,2.302906729958274e-15,4.630154845389453e-15,0.01931906336361526,0.005016547677977817,1.0
full,20261215,0.0002277676188048037,0.011127268256141402,0.009953351742728855,0.023753214677644574,0.01119673547839401,0.017086273172080984,0.04652952981176805,0.032423138791538915,-0.026710080503068497,0.06875242707849205,0.09778575565176294,0.8358864294378275,0.44863149138214203,0.27032227007114396,6.585423322341409,13425.483852318748,0.0016,0.19043743723752285,0.35272117752119225,0.0,0.0,0.0,0.06002048559486983,0.0,3.3866275440562853e-15,3.1749633225527677e-15,0.0047862535383193855,-0.0059015982040121285,1.0
full,20261216,0.0004363654053831038,0.010308865989997777,0.014525993604910097,0.059046709733107015,0.020776266579056242,-0.0029556193397376864,-0.0003555194014177764,0.008377473776442159,0.01055179522750507,-0.0834368073066285,0.056351487694796906,0.9333918559145038,0.7291955801128592,0.06542654344404682,6.497851594480334,13476.002168456938,0.0024,0.2536072395334563,0.43042818422645834,0.0,0.0,0.0,0.04102489422588973,0.0,4.063953052867543e-15,3.042673184113069e-15,-0.0684716105776007,0.015734212897682176,1.0
full,20261217,0.000521994126429064,0.011012457128854021,-0.017520940865074254,0.04446319206092912,0.01701653157819578,0.04050571596787532,0.027445053869816514,0.00313098216247971,-0.005342147749926653,0.12624272111218104,0.13672979511520794,0.9508128383986406,0.7008103283620222,0.1330439604483214,6.5065444581646235,13551.749405033928,0.0048,0.23651520667317208,0.29335228758445975,0.0,0.0,0.0,0.06070024390601936,0.0,1.8965114246715198e-15,2.9103830456733705e-15,-0.054247573556194,0.02118037370273321,1.0
full,20261218,0.0007540123887888139,0.012172512179763997,-0.019745946365631387,0.06988173702148791,0.026790130125565643,0.10298445161521683,0.10468420145336053,0.023385533401205753,0.10517573287752734,0.9814053510717735,0.26968374509632165,0.9540413204408791,0.6260527578321453,0.24203848830615263,6.552657411772902,13613.574904019517,0.0084,0.17588663475265234,0.25955313543145875,0.0,0.0008,0.0,0.07538442023802805,0.0,1.8965114246715198e-15,3.1749633225527677e-15,-0.13964558553883377,-0.006326058679118577,1.0
full,20261219,0.00016767034674211345,0.016608795884392277,-0.06010967835486723,0.08204967102421487,0.03399525927581616,0.18252286165847958,0.17053182133971312,0.038526572043972244,-0.02796910744033403,2.077034320543505,0.34421682388899955,0.8141243372843241,0.4506859081038631,0.5270249533865291,6.781527255529308,13828.278128950275,0.0088,0.023648773282125536,0.439871792838022,0.0004,0.0036,0.0,0.14910256804719468,1.0,4.7412785616788e-15,3.5718337378718635e-15,0.00811811224985031,-0.003683911537132195,1.0
full,20261220,5.60562267996886e-05,0.01704933414293199,-0.014805960680333937,0.14346938281171331,0.028918601121330333,0.24325569239424272,0.1741728158633141,0.055980979612387495,0.003991684557678811,2.9414591998217174,0.4050777836926158,0.8351316457358846,0.4756183513016608,0.5192965987634672,6.831719353439542,13796.062214120995,0.0112,0.024051944765826058,0.44903987807704804,0.0004,0.006,0.0,0.13277625662055348,0.0,4.470348358154297e-15,2.3812224919145757e-15,-0.061264073041725646,-0.001061349085339188,1.0
