scenario,seed,mean_return,daily_volatility,return_acf_1,maximum_absolute_return_acf_1_20,mean_absolute_return_acf_1_20,absolute_return_acf_1,absolute_return_acf_5,absolute_return_acf_20,absolute_return_acf_50,excess_kurtosis,volume_absolute_return_correlation,volume_acf_1,order_flow_imbalance_acf_1,order_flow_imbalance_return_correlation,mean_spread_bps,mean_depth,three_sigma_tail_fraction,mean_absolute_log_price_gap,maximum_drawdown,bubble_day_fraction,crash_day_fraction,strategy_turnover,final_wealth_gini,price_cap_hits,maximum_cash_relative_error,maximum_share_relative_error
full,20260801,0.00020812172649162442,0.013227752481113431,-0.0018965823265919104,0.11221490189543742,0.0316448984152707,0.023487770584492043,0.002987851381030011,-0.035783852030825875,0.026839526343371084,0.4904696937474111,0.14528925061003548,0.9521858602929268,0.8826940570516317,0.14309690301028402,5.941473643213608,14942.73839311876,0.006,0.02066739431134674,0.2857846057060046,0.0,0.0,0.0,0.03392488330749588,0.0,1.625581221147017e-15,1.98435207659548e-15
full,20260802,0.0004587029954149129,0.010340881373209045,0.036461382681388446,0.07814251247540441,0.026234362988181114,0.03017088213620807,0.0008168007786344773,0.04206812476349653,0.02728650262081625,-0.15141104547650963,0.03033436884058474,0.9626943051464467,0.8714842619517802,0.12459800674042765,5.433826874123595,15909.87952682507,0.002,0.12530832959934823,0.15518761013401672,0.0,0.0,0.0,0.03310765007134253,0.0,1.3546510176225143e-15,7.937408306381919e-16
full,20260803,0.0009305137209592536,0.011524865993254634,-0.02812594142031901,0.06797032069349332,0.02736222971553105,0.09098405620719376,0.12099826280291055,0.06347241304264274,0.058050059153731765,0.2794175680659028,0.21679110656104975,0.9766069518316526,0.8243673879274035,0.174120224292687,5.690231541589788,15397.082020941883,0.006,0.0799103647247401,0.14689844758643433,0.0,0.0,0.0,0.03685640765995779,0.0,1.625581221147017e-15,1.1906112459572878e-15
full,20260804,0.0003808283660573979,0.012163328347827247,-0.03541904480759855,0.07436211255150027,0.02474699130222454,0.07050004616672699,0.06741206083034128,0.023361874577506252,0.007449190885590672,0.3557624470636327,0.20228837982596906,0.9651372784143412,0.8327761954048682,0.22449248029627986,5.761984623348377,15282.185612711393,0.004,0.04826585804419302,0.2405763623476057,0.0,0.0,0.0,0.03182494642864997,0.0,1.625581221147017e-15,2.3812224919145757e-15
full,20260805,0.0003746000586205227,0.01052566708634747,-0.02151694735155877,0.05859195318060422,0.018516608811419366,0.01167068135970251,0.005788007747055416,-0.022395660408853355,-0.009660631039504415,0.2870023108096773,0.042179146120942416,0.9729586880153621,0.875920074317081,0.0838312754246004,5.4472166791685614,15888.942786198064,0.006,0.14405314717846146,0.1841131383856135,0.0,0.0,0.0,0.026585715075684968,0.0,3.522092645818537e-15,7.937408306381919e-16
no_direct_news,20260801,7.882127549404672e-05,0.006196034542027547,0.3594912337970626,0.3594912337970626,0.08498680003904681,0.1288862095112821,-0.018787425306912974,0.02745345331915979,-0.06463389527214476,0.4446840469090785,0.054074006906831125,0.9342196578425008,0.9512340323439695,0.08886974608165885,5.2323798254919,16000.0,0.007,0.1256018681833103,0.09082028843286627,0.042,0.0,0.0,0.06420544976618792,0.0,1.0837208140980114e-15,7.937408306381919e-16
no_direct_news,20260802,5.713047610753641e-05,0.00592733268763698,0.40928223453905743,0.40928223453905743,0.08982071133769369,0.12202877307141044,-0.0500507576116574,0.019853537161615687,0.02124392488765125,0.4504497630333346,0.025413152500239334,0.9328094753953414,0.9534394636115814,0.0798657161909663,5.219465222508157,16000.0,0.007,0.6346775830033528,0.0839500915163287,0.0,0.0,0.0,0.06769448260329747,0.0,2.1674416281960227e-15,1.5874816612763839e-15
no_direct_news,20260803,5.475808587627107e-05,0.006602438120247147,0.4176943564903681,0.4176943564903681,0.08718798894597538,0.202309490680842,0.022984302868321652,-0.009188116804780821,0.013951896749137367,0.38924692679685746,0.04356124195114078,0.9357467065717451,0.9494824513490422,0.09427582132616442,5.24588958831209,16000.0,0.004,0.5354808123406322,0.1059672572480671,0.0,0.0,0.0,0.0662823021001393,0.0,9.482557123357599e-16,1.5874816612763839e-15
no_direct_news,20260804,2.7506963511925164e-06,0.00662075161097697,0.34973868380637585,0.34973868380637585,0.08863827867146028,0.17655497175891527,0.007412727406298706,0.02172384424353273,-0.03547413476243703,0.47776798687168975,0.10333522804502682,0.940970917703881,0.9499824810818396,0.08637349585773628,5.245311157401556,16000.0,0.004,0.2931860555507161,0.12739311387550334,0.0,0.0,0.0,0.07030916572815826,0.0,2.1674416281960227e-15,1.0583211075175892e-15
no_direct_news,20260805,-3.242614639829533e-05,0.006963593567130365,0.43742584003567603,0.43742584003567603,0.08977855820439036,0.21776360941057576,-0.006242158043164628,0.005021764371864293,-0.01522994563959194,0.5411360114737982,0.035331605263540754,0.9307065629329707,0.9541259788202042,0.08252602517932214,5.256555918415386,15999.99999991766,0.006,0.8501356491518898,0.13323055479225032,0.0,0.0,0.0,0.06975552678615693,0.0,1.0837208140980114e-15,2.3812224919145757e-15
