scenario,seed,mean_return,daily_volatility,return_acf_1,maximum_absolute_return_acf_1_20,mean_absolute_return_acf_1_20,absolute_return_acf_1,absolute_return_acf_5,absolute_return_acf_20,absolute_return_acf_50,excess_kurtosis,volume_absolute_return_correlation,volume_acf_1,order_flow_imbalance_acf_1,order_flow_imbalance_return_correlation,mean_spread_bps,mean_depth,three_sigma_tail_fraction,mean_absolute_log_price_gap,maximum_drawdown,bubble_day_fraction,crash_day_fraction,strategy_turnover,final_wealth_gini,price_cap_hits,maximum_cash_relative_error,maximum_share_relative_error,return_skewness,leverage_correlation,learning_fitness_alignment
full,20261211,-0.0001068952256405872,0.024989765796037733,-0.049609331794102124,0.1511194989085929,0.03600630629164347,0.25017876621639523,0.2325740751158083,0.11345840158669376,-0.03740520474610022,7.473993500860203,0.4493336069583147,0.8486257699238816,0.42814928984241374,0.5595309027786831,7.275682387660995,13819.05122968428,0.0168,0.020387755668762362,0.5844018251506673,0.0048,0.024,0.0,0.28417252747307575,0.0,3.3866275440562853e-15,5.0270252607085486e-15,0.42211347266678056,-0.010660241814213722,1.0
full,20261212,0.0003485411256551483,0.01765573677018631,-0.03748169834602026,0.10374348295950268,0.024074445881341493,0.1530074008193689,0.21109111136625286,0.023705684812283793,-0.006333421246964964,1.7845508845664408,0.3546809483221559,0.8556883366524654,0.4232456952589928,0.5147159859981113,6.823407862439641,13699.691112104676,0.0068,0.016020911167565873,0.45255705718779804,0.0012,0.0024,0.0,0.16356742181195227,0.0,4.063953052867543e-15,2.1166422150351785e-15,0.1544466806301097,0.012487326218906249,1.0
full,20261213,-5.8599099867739566e-05,0.01655779498758241,-0.019882590756379492,0.09146253497083749,0.023159863019190777,0.11807978146248699,0.12180028096056764,0.008091022272787138,0.02858563672409759,0.8341608025582796,0.31521513675602947,0.8188671510694588,0.41393857746862156,0.5329013804878708,6.8535924333473925,13573.149254010448,0.0064,0.015949082743167736,0.4690082492951472,0.0,0.0024,0.0,0.12464438760358543,0.0,4.605813459916548e-15,2.778092907233672e-15,0.05317064743774915,-0.03138104456216737,1.0
full,20261214,0.0004747863662139,0.011972492944798836,0.006593406206447186,0.05629527450740883,0.02330064099876155,0.005838063481224829,0.03657982390143175,-0.018512763090647033,0.01690059065502394,0.03447273590555655,0.07944524124357258,0.9282246664300016,0.6555943715812322,0.13805569182325295,6.596805853367924,13455.715764947428,0.0028,0.10018147870601153,0.2623825313060755,0.0,0.0,0.0,0.0513177894016843,0.0,2.980232238769531e-15,1.7197717997160825e-15,0.01740399500804215,0.00597560350925122,1.0
full,20261215,0.0002550096111212575,0.012118037810495249,0.006234326904883753,0.025696122269507436,0.011140258451961762,0.009462111869795113,0.04005297029583529,0.029787458155744847,-0.025669073307633065,0.025733502315858026,0.0791586973469929,0.8431943365990239,0.4664792295006637,0.2191718592128442,6.6245592683554015,13418.56391868822,0.0024,0.08001896092358507,0.383244491071667,0.0,0.0,0.0,0.050838347732126365,0.0,2.7093020352450286e-15,2.645802768793973e-15,0.014633575873545851,-0.0020452832372403465,1.0
full,20261216,0.0004903117622860819,0.011398139833587914,0.014161704715852215,0.055069644414313015,0.020575793103103028,-0.0055614198757102115,-0.0070240431897443225,0.006601634304436673,0.008184975198136485,-0.09487736186994455,0.041172425311489125,0.9283687107255153,0.7446881495411185,0.034156783944992074,6.549727002795053,13469.000895025236,0.002,0.09650175990767884,0.46784965470044126,0.0,0.0,0.0,0.03399921594348565,0.0,1.625581221147017e-15,3.836414014751261e-15,-0.06302948869311721,0.015838371909958775,1.0
full,20261217,0.0005928934093223905,0.012158353237595503,-0.022412935736452637,0.04538992764044498,0.01612944234949549,0.023994313050520612,0.022158243863028743,0.0004079727931407036,-0.006400609799636296,0.07869600299003654,0.1220807000737307,0.9501333993665751,0.7193162563093219,0.11862025678615777,6.555733776415922,13547.911560968261,0.002,0.08608939386265142,0.32307539535897334,0.0,0.0,0.0,0.05589993901229473,0.0,2.4383718317205256e-15,3.96870415319096e-15,-0.05170200402054522,0.018811446953897477,1.0
full,20261218,0.0008490922128891345,0.013461639068890273,-0.03019082644641427,0.07274119340736941,0.026154138731356025,0.09729955191550026,0.09670035611779679,0.026937084326996076,0.1064114088284901,0.9169320052156449,0.2651653693410242,0.9544900109252646,0.6459795470627919,0.22176286386619826,6.604420704957009,13611.882616274625,0.0068,0.07066069136959038,0.28039932921988964,0.0,0.002,0.0,0.07903282045923365,0.0,3.1156973405317828e-15,5.423895676027645e-15,-0.139594601271013,-0.013122753170702824,1.0
full,20261219,0.00017422579969774752,0.018505147116438466,-0.0849109361077922,0.0849109361077922,0.03569540687486226,0.1783594741588527,0.15785755606723342,0.028224780248309617,-0.026524995334533414,2.0876045706773283,0.3413348479449849,0.8064646300005399,0.4231046455919974,0.5337534707997493,6.835895081925184,13841.821016137392,0.0096,0.016251982334071255,0.4615701281637753,0.0004,0.0064,0.0,0.18811238337062464,0.0,2.573836933482777e-15,2.1166422150351785e-15,0.02840783477693667,-0.013207523531862877,1.0
full,20261220,6.403663337988732e-05,0.018654307394582043,-0.027361841980236327,0.1383096645069377,0.028040048563442548,0.22811205911074225,0.16143966351169153,0.04404279165176796,0.010521553618099951,2.6281744637608284,0.3966053300598162,0.8239206868440349,0.45577157736098917,0.5231923235032543,6.875977870036705,13809.324667982775,0.01,0.024106381692713647,0.475870998622268,0.0012,0.01,0.0,0.15742328913219628,0.0,1.8965114246715198e-15,1.3229013843969864e-15,-0.056515461461047786,-0.00981942801436042,1.0
