scenario,seed,mean_return,daily_volatility,return_acf_1,absolute_return_acf_1,excess_kurtosis,volume_absolute_return_correlation,mean_absolute_log_price_gap,maximum_drawdown,bubble_day_fraction,crash_day_fraction,strategy_turnover,final_wealth_gini,price_cap_hits,maximum_cash_relative_error,maximum_share_relative_error
full,20260901,0.0007588537043543973,0.01324990689677327,0.09881912432007761,0.14042683828972133,0.4456213616132363,0.4560868430760277,0.012565643561637273,0.23634694236281495,0.0,0.0,58.0,0.009126349406476608,0.0,1.0837208140980114e-15,9.260309690778906e-16
full,20260902,0.00018674231340325064,0.015079749465951711,0.06117662794700774,-0.01611790305914842,0.713526955285138,0.37739108232891716,0.013149784476237925,0.14180724330714944,0.0,0.0,67.0,0.014598861975649413,0.0,4.0639530528675426e-16,7.937408306381919e-16
full,20260903,0.0006464678078517387,0.013957955627513677,0.05051494529379316,0.1036346037140623,0.20520757800685097,0.40254412982029286,0.012418881188126807,0.11598034190847728,0.0,0.0,75.0,0.01124575279099349,0.0,1.7610463229092685e-15,7.937408306381919e-16
full,20260904,-0.0004438347812554113,0.01962950557980458,-0.07412256944373444,0.08738506945854084,0.8873087934073767,0.37209278282981395,0.016328812220429957,0.332600774441566,0.0,0.004,78.0,0.027553428038642247,0.0,5.418604070490057e-16,1.3229013843969864e-15
full,20260905,-0.00035313478913648664,0.015740306331327808,-0.07886692351629207,0.1482478016552752,0.135334685076419,0.5029078126907032,0.01136879458091251,0.25062794640976993,0.0,0.0,40.0,0.012518209589664098,0.0,6.773255088112571e-16,1.3229013843969864e-15
full,20260906,0.001041350353129289,0.01228542750606219,0.08016148234258746,-0.013885056183124087,-0.05007823226430608,0.36652539001887174,0.012624881697826102,0.18042089022304242,0.0,0.0,43.0,0.017625586020828976,0.0,4.0639530528675426e-16,1.0583211075175892e-15
full,20260907,-2.883643506971012e-05,0.018591641740958627,-0.0806278949627061,0.059694991351754545,0.5484932519050152,0.5140151214069383,0.012234520820166243,0.20293632300131847,0.0,0.004,48.0,0.0130564645738791,0.0,5.418604070490057e-16,5.291605537587946e-16
full,20260908,-0.0014888008149879647,0.019672432442902735,-0.1870968560744457,0.07347421233376421,-0.3542150741002277,0.394913856621879,0.013779759731304728,0.35214938266673346,0.0,0.004,14.0,0.01611597643948115,0.0,8.127906105735085e-16,5.291605537587946e-16
full,20260909,-0.00015427486934064305,0.015341626056955007,0.05161999212958813,0.04254416937921261,-0.062096650891525496,0.40726666788768895,0.012829707628476992,0.1806054171096778,0.0,0.0,54.0,0.014834178450413571,0.0,5.418604070490057e-16,9.260309690778906e-16
full,20260910,0.0010869416926388808,0.013055378261212646,0.021602651780875084,0.22809113339226156,-0.08388409371800298,0.45291168047192737,0.010732469344817166,0.1325561246808986,0.0,0.0,73.0,0.011571750747737974,0.0,6.773255088112571e-16,5.291605537587946e-16
full,20260911,0.0006886117467207668,0.014756141723549132,0.024087674815055887,0.3069514573112427,0.6851513777605622,0.4069677099849102,0.013410435317058373,0.21463281001958912,0.0,0.0,95.0,0.014516978026569927,0.0,9.482557123357599e-16,3.9687041531909596e-16
full,20260912,0.0007918480175138996,0.012910756927291205,0.05220260045429156,0.005325168789530985,0.09245810134730714,0.5303045746799281,0.009272325996034175,0.13740112784557568,0.0,0.0,58.0,0.008676382743831645,0.0,8.127906105735085e-16,5.291605537587946e-16
full,20260913,0.00044127105874175855,0.011313555099485072,0.061252739996391734,-0.05491821899444143,-0.3656405369999156,0.415881920291794,0.010211831268463518,0.18204716563569212,0.0,0.0,89.0,0.0063758565212861384,0.0,1.2191859158602628e-15,5.291605537587946e-16
full,20260914,0.0003582348266600626,0.013844614499342814,-0.03752627865746076,0.003654621555903095,0.05681687626857368,0.6501068947619063,0.009273558756014308,0.12801123418910154,0.0,0.0,75.0,0.0047752943753984756,0.0,5.418604070490057e-16,3.9687041531909596e-16
full,20260915,-0.0001090330475416721,0.016948234909051483,-0.04753992315566119,0.013090925098198,-0.5202595842249993,0.23930311998948026,0.016205258055111953,0.2659411007466119,0.0,0.0,57.0,0.021184216303870906,0.0,8.127906105735085e-16,5.291605537587946e-16
full,20260916,0.0007390937910384423,0.013004028750599016,0.04269171546104897,-0.027201928901115818,0.07489305174897432,0.2964406198452663,0.012603002792459001,0.14786957682721613,0.0,0.0,40.0,0.010805225461960166,0.0,5.418604070490057e-16,5.291605537587946e-16
full,20260917,-8.339474979757e-05,0.02211972112214828,-0.18311284961714605,0.1993313016844677,0.9647362694153898,0.45899088596551274,0.0160993105156279,0.2958720020118065,0.0,0.008,50.0,0.024717875682899404,0.0,1.3546510176225143e-15,1.3229013843969864e-15
full,20260918,0.0014708035504115244,0.012054979628562286,0.1265396369419001,0.03495652307741429,0.2740855704189853,0.36313936444870426,0.01360287587952239,0.16674143449116363,0.0,0.0,98.0,0.014939337891815452,0.0,5.418604070490057e-16,7.937408306381919e-16
full,20260919,-0.0003551676088195599,0.015486415471380056,0.09868584256619563,0.098938100320779,0.21026181136652689,0.40486493411642777,0.012537762567154855,0.249337341224666,0.0,0.0,63.0,0.010591352743296145,0.0,5.418604070490057e-16,6.614506921984932e-16
full,20260920,-0.00038124455306501304,0.014166346749521197,-0.02471516531050021,0.08929941533281435,-0.37965284340640304,0.466618860631706,0.00991987609028363,0.13395058354988088,0.0,0.0,26.0,0.010040351837665717,0.0,4.0639530528675426e-16,5.291605537587946e-16
full,20260921,0.0012428114426739718,0.01184420889897832,0.07086900157423637,0.07187875145663959,0.5469701031126197,0.3624975151756539,0.010848601841266603,0.10979144071893299,0.0,0.0,109.0,0.019160160984585728,0.0,8.127906105735085e-16,7.937408306381919e-16
full,20260922,0.0014599987712520458,0.012226640919992324,0.12115643490791389,-0.023702781315604434,0.31379292210059795,0.38900941079052126,0.01192642324706747,0.15481428189925195,0.0,0.0,84.0,0.027626692952650966,0.0,6.773255088112571e-16,2.645802768793973e-16
full,20260923,0.0007456876241186344,0.013012117619514957,-0.02686417941826866,0.06328392107527078,-0.2316762360334077,0.4036168798614648,0.011132116934665103,0.09783264312086537,0.0,0.0,92.0,0.007245352545283135,0.0,6.773255088112571e-16,1.0583211075175892e-15
full,20260924,0.0016002551218499725,0.01294280332928975,0.09239124596133076,0.10173447019077765,-0.20749148242060178,0.4008716721194897,0.011942370968960147,0.13755809566022825,0.0,0.0,89.0,0.03070779014493019,0.0,4.0639530528675426e-16,5.291605537587946e-16
full,20260925,0.0015637374644979153,0.011586040914814619,0.043294589564422344,-0.022943001126669308,-0.2320664261730605,0.39877661854345153,0.012056800763477935,0.1545424982472513,0.0,0.0,74.0,0.01953152923236079,0.0,1.2191859158602628e-15,6.614506921984932e-16
