scenario,seed,mean_return,daily_volatility,return_acf_1,maximum_absolute_return_acf_1_20,mean_absolute_return_acf_1_20,absolute_return_acf_1,absolute_return_acf_5,absolute_return_acf_20,absolute_return_acf_50,excess_kurtosis,volume_absolute_return_correlation,volume_acf_1,order_flow_imbalance_acf_1,order_flow_imbalance_return_correlation,mean_spread_bps,mean_depth,three_sigma_tail_fraction,mean_absolute_log_price_gap,maximum_drawdown,bubble_day_fraction,crash_day_fraction,strategy_turnover,final_wealth_gini,price_cap_hits,maximum_cash_relative_error,maximum_share_relative_error
full,20260801,0.0002294522107407717,0.01293273594252532,0.027966380601107056,0.10053843100694888,0.03438500065099372,0.020336319988188793,0.002359993886746847,-0.02924408936119236,0.01963154597497979,0.32240145878263604,0.14342424424053052,0.9548671021088666,0.8911813587644044,0.14198725711946245,7.5254668322028335,11913.242465965883,0.005,0.02999483099263891,0.28732256639185905,0.0,0.0,0.0,0.03349290170921426,0.0,9.482557123357599e-16,9.260309690778906e-16
full,20260802,0.00046548558725385456,0.010173360478918925,0.02795823019587718,0.07537606204712934,0.02719586218969225,0.02729953289843285,-0.00670430835938609,0.048089720795545535,0.032977378868269555,-0.20766749959285136,0.03050291227686512,0.9639718171628509,0.8688394023282853,0.12666595455314403,6.154816029897225,14149.347681296022,0.001,0.1198041475821317,0.1549420707645517,0.0,0.0,0.0,0.030511996572569977,0.0,8.127906105735085e-16,1.4551915228366853e-15
full,20260803,0.0009358941235839824,0.011575069374885495,-0.016965678943573044,0.06865696873908068,0.027994201282316094,0.09940931997355454,0.13013862022048722,0.07439240011345008,0.07317804482183606,0.3615903793117585,0.23257341559763467,0.9756416113094037,0.825304323725364,0.18003998194771217,6.756671602560858,13349.4784819607,0.006,0.08285833250881154,0.14699192870747513,0.0,0.0,0.0,0.037094613101179785,0.0,1.0837208140980114e-15,9.260309690778906e-16
full,20260804,0.0003810379880644481,0.011969128123890792,0.002662223086580243,0.08474236768053121,0.023560025395508756,0.06474583676576823,0.06292360587610726,0.04616016323142517,0.01239846781022768,0.4701203083752672,0.19441136389841976,0.9635479957759455,0.8366156421963373,0.23744222878763993,6.937946872713769,12919.981978607715,0.004,0.03953561887335051,0.24332280985367005,0.0,0.0,0.0,0.026127756048136552,0.0,1.4901161193847656e-15,1.0583211075175892e-15
full,20260805,0.00036946420620574206,0.010435592044487784,-0.03014553066406755,0.057996705632528386,0.019399229159617514,0.013631025972609108,0.0038132193391021392,-0.01478184975976776,-0.01195517465304184,0.30519797714163666,0.040957594671986855,0.9731952295019506,0.8747957606381926,0.08595239563966314,6.223444700322006,14027.460362643542,0.005,0.14191370953055446,0.18693724327315508,0.0,0.0,0.0,0.02423553009943502,0.0,1.7610463229092685e-15,1.3229013843969864e-15
no_direct_news,20260801,3.3346256794202665e-05,0.004287663709904807,0.382455575304724,0.382455575304724,0.08022860111147492,0.1436211115196652,-0.042972838194205915,-0.01690774203983847,-0.07067760216570869,0.5574269807319716,-0.035779741455037796,0.9365673761346754,0.9606446843174578,0.10643584240838333,5.158736352717079,16000.0,0.005,0.12433725274178742,0.0703735610937759,0.173,0.0,0.0,0.047433403027937526,0.0,1.0837208140980114e-15,1.7197717997160825e-15
no_direct_news,20260802,-1.1307990174904248e-05,0.00445428808495741,0.39824989395250926,0.39824989395250926,0.07484736403480352,0.09281829762108255,-0.008053398920199803,0.02434324085773514,-0.02193201904760637,0.41735832389135785,0.026395841207726388,0.934457442079536,0.9560303134002333,0.11366643888764853,5.1636367180520795,16000.0,0.008,0.6774881236467282,0.09619035898140404,0.0,0.0,0.0,0.05270237385609855,0.0,1.3546510176225143e-15,9.260309690778906e-16
no_direct_news,20260803,-5.132933215828927e-05,0.004996738228534451,0.41920928521664397,0.41920928521664397,0.08123414473231425,0.24560121797924822,-0.0038872999529360134,0.025604916478733305,-0.024570236456143715,0.37511541035542706,0.08505478815699051,0.9328620818049947,0.9576936385519204,0.11465257308931277,5.184948126884296,16000.0,0.003,0.5759815456559266,0.10614212830156411,0.0,0.0,0.0,0.0492061726111801,0.0,6.773255088112571e-16,2.3812224919145757e-15
no_direct_news,20260804,-6.488618656400113e-05,0.005215984895433127,0.37110230405575356,0.37110230405575356,0.08262983728484685,0.21882924157560008,0.020632617411474808,-0.006418320833671995,-0.031175109626516116,0.655299230485062,0.04400008717761379,0.9373510225689579,0.9531525353787125,0.11169813426755133,5.192546420014255,16000.0,0.008,0.357860553174075,0.13155147865489059,0.0,0.0,0.0,0.05461369628498525,0.0,1.4901161193847656e-15,1.0583211075175892e-15
no_direct_news,20260805,-4.401400387042287e-05,0.005043383093536078,0.41531020535742713,0.41531020535742713,0.08217072102746767,0.19423074088865064,7.624515733609001e-05,0.00999524910120803,-0.006983035448915737,0.6068875954214468,0.07088327369027751,0.9372172304511452,0.954397733466188,0.11426574327212163,5.184928467557596,16000.0,0.008,0.8374014455355412,0.11981825019023873,0.0,0.0,0.0,0.05152684534956675,0.0,9.482557123357599e-16,1.4551915228366853e-15
